title,author,book_id,source,cover_url,asset_file,decision,confidence,reason
813,Maurice Leblanc,813,standard-ebooks,/covers/813.jpg,public/covers/covers/813.jpg,remove,1,public-domain Standard Ebooks cover
A Christmas Carol,Charles Dickens,a-christmas-carol,standard-ebooks,/covers/a-christmas-carol.jpg,public/covers/covers/a-christmas-carol.jpg,remove,1,public-domain Standard Ebooks cover
A Confession,Leo Tolstoy,a-confession,standard-ebooks,/covers/a-confession.jpg,public/covers/covers/a-confession.jpg,remove,1,public-domain Standard Ebooks cover
A Connecticut Yankee in King Arthur’s Court,Mark Twain,a-connecticut-yankee-in-king-arthurs-court,standard-ebooks,/covers/a-connecticut-yankee-in-king-arthurs-court.jpg,public/covers/covers/a-connecticut-yankee-in-king-arthurs-court.jpg,remove,1,public-domain Standard Ebooks cover
A Country Gentleman and His Family,Margaret Oliphant,a-country-gentleman-and-his-family,standard-ebooks,/covers/a-country-gentleman-and-his-family.jpg,public/covers/covers/a-country-gentleman-and-his-family.jpg,remove,1,public-domain Standard Ebooks cover
A Daughter of Eve,Honoré de Balzac,a-daughter-of-eve,standard-ebooks,/covers/a-daughter-of-eve.jpg,public/covers/covers/a-daughter-of-eve.jpg,remove,1,public-domain Standard Ebooks cover
A Daughter of the Samurai,Etsu Inagaki Sugimoto,a-daughter-of-the-samurai,standard-ebooks,/covers/a-daughter-of-the-samurai.jpg,public/covers/covers/a-daughter-of-the-samurai.jpg,remove,1,public-domain Standard Ebooks cover
A Doll’s House,Henrik Ibsen,a-dolls-house,standard-ebooks,/covers/a-dolls-house.jpg,public/covers/covers/a-dolls-house.jpg,remove,1,public-domain Standard Ebooks cover
A Farewell to Arms,Ernest Hemingway,a-farewell-to-arms,standard-ebooks,/covers/a-farewell-to-arms.jpg,public/covers/covers/a-farewell-to-arms.jpg,remove,1,public-domain Standard Ebooks cover
A Journal of the Plague Year,Daniel Defoe,a-journal-of-the-plague-year,standard-ebooks,/covers/a-journal-of-the-plague-year.jpg,public/covers/covers/a-journal-of-the-plague-year.jpg,remove,1,public-domain Standard Ebooks cover
