Found 72 books needing art...
[  1/72] ✓ the-aeneid                       "The Dream of Aeneas" by Salvator Rosa (score: 43)
[  2/72] ✓ metamorphoses                    "Marcantonio Pasqualini (1614–1691) Crowned by Apollo" by Andrea Sacchi (score: 35)
[  3/72] ✓ de-bello-gallico                 "The Battle of Vercellae" by Giovanni Battista Tiepolo (score: 35)
[  4/72] ✓ confessions                      "Scenes from the Life of Saint Augustine of Hippo" by Master of Saint Augustine (score: 38)
[  5/72] ✓ meditations                      "Marble portrait of the Empress Faustina the Younger, wife of the emperor Marcus Aurelius" by Unknown (score: 18)
[  6/72] ✓ letters-to-lucilius              "Self-Portrait" by Salvator Rosa (score: 43)
[  7/72] ✓ de-rerum-natura                  "A Hunting Scene" by Piero di Cosimo (Piero di Lorenzo di Piero d'Antonio) (score: 35)
[  8/72] ✓ on-friendship                    "Wall painting from Room H of the Villa of P. Fannius Synistor at Boscoreale" by Unknown (score: 35)
[  9/72] ✓ inferno                          "Monsieur Suisse" by Gustave Courbet (score: 35)
[ 10/72] ✓ purgatorio                       "Two Angels" by North Italian Painter (Verona?) (score: 35)
[ 11/72] ✓ paradiso                         "Paradise" by Giovanni di Paolo (Giovanni di Paolo di Grazia) (score: 30)
[ 12/72] ✓ the-canterbury-tales             "The Adoration of the Shepherds" by Bartolo di Fredi (score: 38)
[ 13/72] ✓ beowulf                          "The Adoration of the Shepherds" by Bartolo di Fredi (score: 30)
[ 14/72] ✓ the-decameron                    "The Adoration of the Shepherds" by Bartolo di Fredi (score: 38)
[ 15/72] ✓ le-morte-darthur                 "The Adoration of the Shepherds" by Bartolo di Fredi (score: 30)
[ 16/72] ✓ hamlet                           "Hamlet" by Eugène Delacroix (score: 43)
[ 17/72] ✓ macbeth                          "The Night-Hag Visiting Lapland Witches" by Henry Fuseli (score: 35)
[ 18/72] ✓ othello                          "Othello Hesitating to Kill Desdemona" by baron François Gérard (score: 43)
[ 19/72] ✓ the-tempest                      "The Enchanted Island Before the Cell of Prospero - Prospero, Miranda, Caliban and Ariel (Shakespeare, The Tempest, Act 1, Scene 2)" by Peter Simon (score: 39)
[ 20/72] ✓ don-quixote                      "Don Quixote Tilting at Windmills, from “Don Quixote in Grotesques”" by Unknown Designer (score: 31)
[ 21/72] ✗ the-prince                       no art found
[ 22/72] ✗ paradise-lost                    no art found
[ 23/72] ✗ candide                          no art found
[ 24/72] ✗ gullivers-travels                no art found
[ 25/72] ✗ the-social-contract              no art found
[ 26/72] ✗ discourse-on-method              no art found
[ 27/72] ✗ the-wealth-of-nations            no art found
[ 28/72] ✗ pride-and-prejudice              no art found
[ 29/72] ✗ frankenstein                     no art found
[ 30/72] ✗ les-miserables                   no art found
[ 31/72] ✗ the-count-of-monte-cristo        no art found
[ 32/72] ✗ jane-eyre                        no art found
[ 33/72] ✗ wuthering-heights                no art found
[ 34/72] ✗ great-expectations               no art found
[ 35/72] ✗ a-tale-of-two-cities             no art found
[ 36/72] ✗ the-picture-of-dorian-gray       no art found
[ 37/72] ✗ the-importance-of-being-earnest  no art found
[ 38/72] ✗ a-dolls-house                    no art found
[ 39/72] ✗ war-and-peace                    no art found
[ 40/72] ✗ anna-karenina                    no art found
[ 41/72] ✗ crime-and-punishment             no art found
[ 42/72] ✗ the-brothers-karamazov           no art found
[ 43/72] ✗ eugene-onegin                    no art found
[ 44/72] ✗ the-cherry-orchard               no art found
[ 45/72] ✗ notes-from-underground           no art found
[ 46/72] ✗ moby-dick                        no art found
[ 47/72] ✗ little-women                     no art found
[ 48/72] ✗ the-scarlet-letter               no art found
[ 49/72] ✗ adventures-of-huckleberry-finn   no art found
[ 50/72] ✗ walden                           no art found
[ 51/72] ✗ the-great-gatsby                 no art found
[ 52/72] ✗ the-call-of-the-wild             no art found
[ 53/72] ✗ the-adventures-of-tom-sawyer     no art found
[ 54/72] ✗ madame-bovary                    no art found
[ 55/72] ✗ les-fleurs-du-mal                no art found
[ 56/72] ✗ germinal                         no art found
[ 57/72] ✗ the-three-musketeers             no art found
[ 58/72] ✗ pere-goriot                      no art found
[ 59/72] ✗ the-stranger                     no art found
[ 60/72] ✗ ulysses                          no art found
[ 61/72] ✗ mrs-dalloway                     no art found
[ 62/72] ✗ the-metamorphosis                no art found
[ 63/72] ✗ the-trial                        no art found
[ 64/72] ✗ heart-of-darkness                no art found
[ 65/72] ✗ to-the-lighthouse                no art found
[ 66/72] ✗ thus-spoke-zarathustra           no art found
[ 67/72] ✗ bhagavad-gita                    no art found
[ 68/72] ✗ the-art-of-war                   no art found
[ 69/72] ✗ tao-te-ching                     no art found
[ 70/72] ✗ the-tale-of-genji                no art found
[ 71/72] ✗ rubaiyat-of-omar-khayyam         no art found
[ 72/72] ✗ the-masnavi                      no art found

Done. Found: 20  Failed: 52
